gap,band,Company,What they are,Kind of business,HQ,Country,Staff (company),Capacity MW,Hyperscale focus,People we have mapped,Ward searches,Already linked to,Website,LinkedIn,Where the name came from,company_id
no connection at all,A · Big and blank,Fermi America,NeoCloud / AI infra,Pure-play data center,"Amarillo, Texas, United States",United States,11 to 50,10400,Primary Focus,5,,,https://fermiamerica.com/,https://www.linkedin.com/company/fermi-america/,Data Centre Developer,fermi-america
no connection at all,A · Big and blank,O'Leary Ventures,NeoCloud / AI infra,Pure-play data center,"Miami, Florida, United States",United States,1 to 10,5568,,,,,http://www.olearyventures.com,https://www.linkedin.com/company/o'leary-ventures/,Data Centre Developer,o-leary-ventures
no connection at all,A · Big and blank,Scala,DC developer / operator,Pure-play data center,"Bellevue, Washington, United States",United States,11 to 50,5241,Primary Focus,150,,,https://scala.ai,https://www.linkedin.com/company/scala-ai/,Data Centre Developer,scala
no connection at all,A · Big and blank,Sailfish  Investors,NeoCloud / AI infra,Pure-play data center,"West Palm Beach, Florida, United States",United States,1 to 10,5197,,1,,,www.sailfishinvestors.com,https://www.linkedin.com/company/sailfishinvestors/,Data Centre Developer,sailfish-investors
no connection at all,A · Big and blank,Energy Abundance,NeoCloud / AI infra,Pure-play data center,"Houston, Texas, United States",United States,1 to 10,5000,Secondary Focus,3,,,https://www.energyabundance.com/,https://www.linkedin.com/company/energy-abundance/,Data Centre Developer,energy-abundance
no connection at all,A · Big and blank,Merlin Properties,DC developer / operator,Pure-play data center,"Madrid, Spain",Spain,201-500,4352,Secondary Focus,,,,https://www.merlinproperties.com/?utm_medium=social&utm_source=linkedin&utm_campaign=,https://www.linkedin.com/company/merlinproperties/,Data Centre Developer,merlin-properties
no connection at all,A · Big and blank,Elea Data Centers,DC developer / operator,Pure-play data center,"Rio De Janerio, Brazil",Brazil,51-200,3486,,2,,,https://www.eleadatacenters.com,https://www.linkedin.com/company/eleadatacenters/,Data Centre Developer,elea-data-centers
no connection at all,A · Big and blank,ILI Group,DC developer / operator,Pure-play data center,"Hamilton, United Kingdom",United Kingdom,1 to 10,3080,,2,,,http://www.ili-energy.com/,https://www.linkedin.com/company/ili-group/,Data Centre Developer,ili-group
no connection at all,A · Big and blank,Mistral AI,NeoCloud / AI infra,Pure-play data center,"Paris, France",France,201-500,2800,,,,,https://mistral.ai/,https://www.linkedin.com/company/mistralai/,Data Centre Developer,mistral-ai
no connection at all,A · Big and blank,TECfusions,DC developer / operator,Pure-play data center,"Clearwater, Florida, United States",United States,51-200,2700,,9,,,http://www.tecfusions.com,https://www.linkedin.com/company/tecfusions/,Data Centre Developer,tecfusions
no connection at all,A · Big and blank,Wallace Jackson LLC,DC developer / operator,Pure-play data center,,,,2668,,,,,,,Data Centre Developer,wallace-jackson-llc
no connection at all,A · Big and blank,CDC Data Centres,DC developer / operator,Pure-play data center,"Fyshwick, Australia",Australia,51-200,2617,,,,,https://cdc.com/,https://www.linkedin.com/company/cdc-data-centres/,Data Centre Developer,cdc-data-centres
no connection at all,A · Big and blank,Stock Farm Road,DC developer / operator,Pure-play data center,,,,2500,,,,,https://www.stockfarmroad.com/,,Data Centre Developer,stock-farm-road
no connection at all,A · Big and blank,AiOnX,NeoCloud / AI infra,Pure-play data center,,,,2430,Primary Focus,,,,,,Data Centre Developer,aionx
no connection at all,A · Big and blank,Tramell Crow Company,DC developer / operator,Pure-play data center,"Dallas, Texas, United States",United States,"501-1,000",2423,Secondary Focus,,,,http://www.trammellcrow.com,https://www.linkedin.com/company/trammell-crow-company/,Data Centre Developer,tramell-crow-company
no connection at all,A · Big and blank,Start Campus,DC developer / operator,Pure-play data center,"Lisbon, Portugal",Portugal,51-200,2191,Primary Focus,4,,,https://www.startcampus.pt,https://www.linkedin.com/company/start-campus/,Data Centre Developer,start-campus
no connection at all,A · Big and blank,DCI Indonesia,DC developer / operator,Pure-play data center,Jakarta,Jakarta,51-200,2017,,,,,http://www.dci-indonesia.com,https://www.linkedin.com/company/dci-indonesia/,Data Centre Developer,dci-indonesia
no connection at all,A · Big and blank,Goodman,DC developer / operator,Pure-play data center,"Sydney, New South Wales, Australia",Australia,"1,001-5,000",2017,Secondary Focus,29,10,,http://www.goodman.com,https://www.linkedin.com/company/goodman/,Data Centre Developer,goodman
no connection at all,A · Big and blank,AdaniConnex,DC developer / operator,Pure-play data center,"Ahmedabad, Gujarat",Gujarat,201-500,1994,Primary Focus,,,,https://www.adaniconnex.com/,https://www.linkedin.com/company/adani-connex/,Data Centre Developer,adaniconnex
no connection at all,A · Big and blank,DAMAC Digital,DC developer / operator,Real estate / industrial,Dubai,Dubai,"1,001-5,000",1948,Primary Focus,10,,,https://damacdigital.com/,https://www.linkedin.com/company/damacdigital/,Data Centre Developer,damac-digital
no connection at all,A · Big and blank,CtrlS,DC developer / operator,Pure-play data center,"Hyderabad, Telangana",Telangana,"1,001-5,000",1856,Secondary Focus,,,,http://www.ctrls.com,https://www.linkedin.com/company/ctrls-datacenters-ltd/,Data Centre Developer,ctrls
no connection at all,A · Big and blank,Omniva,DC developer / operator,Pure-play data center,"Tallinn, Estonia",Estonia,"1,001-5,000",1834,,,,,https://www.omnivagroup.com/,https://www.linkedin.com/company/omnivagroup/,Data Centre Developer,omniva
no connection at all,A · Big and blank,"Pioneer Development,LLC",DC developer / operator,Pure-play data center,"Durango, Colorado, United States",United States,1 to 10,1803,,2,,,https://www.pioneerdevelopmentcompany.com/,https://www.linkedin.com/company/pioneer-development-company-llc/,Data Centre Developer,pioneer-development-llc
no connection at all,A · Big and blank,TPA,DC developer / operator + Real estate & industrial developer,Pure-play data center,"Birmingham, Alabama",Alabama,51-200,1782,,,,,https://www.tpagroup.com,https://www.linkedin.com/company/tpa-group/,Data Centre Developer; Real Estate Developers USA,tpa
no connection at all,A · Big and blank,NEXTDC,DC developer / operator,Pure-play data center,"Brisbane, Queensland, Australia",Australia,201-500,1729,Primary Focus,3,,,http://www.nextdc.com,https://www.linkedin.com/company/nextdc/,Data Centre Developer,nextdc
no connection at all,A · Big and blank,NE Edge,DC developer / operator,Pure-play data center,"Belmont, Massachusetts, United States",United States,,1645,,,,,https://ne-edgedatacenters.com/,,Data Centre Developer,ne-edge
no connection at all,A · Big and blank,AVAIO Digital Partners,DC developer / operator,Pure-play data center,"Stamford, Connecticut, United States",United States,11 to 50,1580,Primary Focus,1,,,https://www.avaiodigital.com/,https://www.linkedin.com/company/avaio-digital-partners/,Data Centre Developer,avaio-digital-partners
no connection at all,A · Big and blank,TPG Real Estate Partners,DC developer / operator,Pure-play data center,"San Francisco, California, United States",United States,"1,001-5,000",1505,Secondary Focus,,,,https://www.tpg.com/platforms/real-estate/tpg-real-estate-partners,https://www.linkedin.com/company/tpg-capital/,Data Centre Developer,tpg-real-estate-partners
no connection at all,A · Big and blank,Doma Infrastructure Group,DC developer / operator,Pure-play data center,,,1 to 10,1500,,,,,www.domainfra.com,https://www.linkedin.com/company/doma-infrastructure/,Data Centre Developer,doma-infrastructure-group
no connection at all,A · Big and blank,SDC Capital Partners,DC developer / operator,Pure-play data center,"New York, United States",United States,51-200,1355,Secondary Focus,6,,,https://sdccapitalpartners.com/,https://www.linkedin.com/company/sdc-capital-partners/,Data Centre Developer,sdc-capital-partners
no connection at all,A · Big and blank,Colt DCS,DC developer / operator,Pure-play data center,,,,1296,Secondary Focus,1,,,,,Data Centre Developer,colt-dcs
no connection at all,A · Big and blank,Sify Technologies,DC developer / operator,Pure-play data center,"Chennai, Tamil Nadu, India",India,"1,001-5,000",1286,,1,,,https://www.sifytechnologies.com/,https://www.linkedin.com/company/sify/,Data Centre Developer,sify-technologies
no connection at all,A · Big and blank,CalEthos,NeoCloud / AI infra,Pure-play data center,"Tustin, California",California,1 to 10,1260,,2,,,www.calethos.com,https://www.linkedin.com/company/calethos/,Data Centre Developer,calethos
no connection at all,A · Big and blank,Plaza Realty & Management,DC developer / operator,Pure-play data center,"Stamford, Connecticut, United States",United States,11 to 50,1250,,,,,https://plazarealtymgmt.com/,https://www.linkedin.com/company/plaza-realty-management-coporation/,Data Centre Developer,plaza-realty-management
no connection at all,A · Big and blank,CloudBurst,DC developer / operator,Pure-play data center,"Denver, Colorado, United States",United States,11 to 50,1200,Primary Focus,,,,www.cloudburstdc.com,https://www.linkedin.com/company/cloudburst-data-centers-inc/,Data Centre Developer,cloudburst
no connection at all,A · Big and blank,Reef Group,DC developer / operator,Pure-play data center,"London, United Kingdom",United Kingdom,11 to 50,1200,,,,,http://www.reefgroup.co.uk,https://www.linkedin.com/company/reef-estates-limited/,Data Centre Developer,reef-group
no connection at all,A · Big and blank,Starwood Digital Ventures,DC developer / operator,Pure-play data center,"Miami Beach, Florida, United States",United States,51-200,1200,Primary Focus,,,,www.starwoodcapital.com,https://www.linkedin.com/company/starwooddigitalventures/,Data Centre Developer,starwood-digital-ventures
no connection at all,A · Big and blank,COPT,DC developer / operator,Pure-play data center,"Columbia, Maryland, United States",United States,201-500,1160,Secondary Focus,,,,http://www.copt.com,https://www.linkedin.com/company/copt-defense-properties/,Data Centre Developer,copt
no connection at all,A · Big and blank,Keppel Data Centres,DC developer / operator,Pure-play data center,Singapore,Singapore,201-500,1147,Primary Focus,,,,https://www.keppeldatacentres.com/,https://www.linkedin.com/company/keppel-data-centres-pte-ltd-/,Data Centre Developer,keppel-data-centres
no connection at all,A · Big and blank,Digital Connexion,DC developer / operator,Pure-play data center,"Mumbai, Maharashtra",Maharashtra,11 to 50,1140,,,,,https://digitalconnexion.com/,https://www.linkedin.com/company/digital-connexion-dx/,Data Centre Developer,digital-connexion
no connection at all,A · Big and blank,ISPT,DC developer / operator,Pure-play data center,"Melbourne, Victoria, Australia",Australia,51-200,1120,Secondary Focus,,,,,https://www.linkedin.com/company/ispt/,Data Centre Developer,ispt
no connection at all,A · Big and blank,Atlas Development,DC developer / operator,Pure-play data center,"Tucson, Arizona, United States",United States,,1064,,,,,http://www.sunquestinfo.com,https://www.linkedin.com/company/atlas-development-corporation/,Data Centre Developer,atlas-development
no connection at all,A · Big and blank,Copia Power Devco,DC developer / operator,Pure-play data center,"Dana Point, California, United States",United States,51-200,1050,Primary Focus,,,,https://www.copiapower.com/,https://www.linkedin.com/company/copia-power/,Data Centre Developer,copia-power-devco
no connection at all,A · Big and blank,Red Wolf DCD Properties LLC,DC developer / operator,Pure-play data center,,,,1012,,,,,,,Data Centre Developer,red-wolf-dcd-properties-llc
no connection at all,A · Big and blank,Apatura,DC developer / operator,Pure-play data center,York,York,51-200,1000,Primary Focus,,,,https://apatura.energy/,https://www.linkedin.com/company/apaturaenergy/,Data Centre Developer,apatura
no connection at all,A · Big and blank,Arizona Land Consulting (ALC),DC developer / operator,Pure-play data center,"Scottsdale, Arizona, United States",United States,,1000,,,,,https://www.arizonalandconsulting.com/,,Data Centre Developer,arizona-land-consulting
no connection at all,A · Big and blank,Atlas Compute,DC developer / operator,Pure-play data center,"Miami, Florida, United States",United States,11 to 50,1000,Primary Focus,,,,https://atlascompute.ai/,https://www.linkedin.com/company/atlas-compute/,Data Centre Developer,atlas-compute
no connection at all,A · Big and blank,Fidelis New Energy,DC developer / operator,Pure-play data center,,,,1000,,,,,,,Data Centre Developer,fidelis-new-energy
no connection at all,A · Big and blank,FlexBase,DC developer / operator,Pure-play data center,,,,1000,,,,,,,Data Centre Developer,flexbase
no connection at all,A · Big and blank,XDC Properties,DC developer / operator,Pure-play data center,,,,960,Primary Focus,,,,,,Data Centre Developer,xdc-properties
no connection at all,A · Big and blank,Eagle Rock Partners,DC developer / operator,Pure-play data center,"Newton, Massachusetts, United States",United States,1 to 10,900,,,,,http://eaglerockrepartners.com,,Data Centre Developer,eagle-rock-partners
no connection at all,A · Big and blank,Echelon,DC developer / operator,Pure-play data center,,,,865,,10,,,,,Data Centre Developer,echelon
no connection at all,A · Big and blank,VNET,DC developer / operator,Pure-play data center,"Bratislava, Slovakia",Slovakia,51-200,842,Secondary Focus,,,,https://www.vnet.sk/sk/biznis/biznis-landing/,https://www.linkedin.com/company/vnetas/,Data Centre Developer,vnet
no connection at all,A · Big and blank,Nxtra By Airtel,DC developer / operator,Pure-play data center,"Gurugram, Haryana, India",India,51-200,841,,,,,https://www.nxtra.in/,https://www.linkedin.com/company/nxtrabyairtel/,Data Centre Developer,nxtra-by-airtel
no connection at all,A · Big and blank,Adriatic DC,DC developer / operator,Pure-play data center,Milan,Milan,1 to 10,840,,,,,adriaticdc.com,https://www.linkedin.com/company/adriatic-dc/,Data Centre Developer,adriatic-dc
no connection at all,A · Big and blank,Lerner Enterprises,DC developer / operator,Pure-play data center,"Rockville, Maryland, United States",United States,"501-1,000",820,,,,,http://www.lerner.com,https://www.linkedin.com/company/lerner-enterprises/,Data Centre Developer,lerner-enterprises
no connection at all,A · Big and blank,"Servistar Realties, LLC",DC developer / operator,Pure-play data center,,,,820,,,,,,,Data Centre Developer,servistar-realties-llc
no connection at all,A · Big and blank,DataVolt,DC developer / operator,Pure-play data center,Riyadh,Riyadh,51-200,807,Primary Focus,,,,https://data-volt.com/,https://www.linkedin.com/company/data-volt/,Data Centre Developer,datavolt
no connection at all,A · Big and blank,Polarnode,DC developer / operator,Pure-play data center,"Helsinki, Finland",Finland,1 to 10,800,,,,,https://www.polarnode.fi/,https://www.linkedin.com/company/polarnode/,Data Centre Developer,polarnode
no connection at all,A · Big and blank,Potomac Developent Group,DC developer / operator,Pure-play data center,"Chantilly, Virginia, United States",United States,11 to 50,800,,,,,https://www.potomacdevgrp.com/,https://www.linkedin.com/company/potomac-development-group/,Data Centre Developer,potomac-developent-group
no connection at all,A · Big and blank,Humber Tech Park,DC developer / operator,Pure-play data center,"London, United Kingdom",United Kingdom,1 to 10,768,,,,,www.humbertechpark.com,https://www.linkedin.com/company/humber-tech-park/,Data Centre Developer,humber-tech-park
no connection at all,A · Big and blank,Chirisa Technology Parks,DC developer / operator,Pure-play data center,"Richmond, Virginia, United States",United States,51-200,748,,1,,,https://chirisatechnologyparks.com/,https://www.linkedin.com/company/chirisa-technology-parks/,Data Centre Developer,chirisa-technology-parks
no connection at all,A · Big and blank,BDx,DC developer / operator,Pure-play data center,,,201-500,741,Primary Focus,,,,https://www.bdxworld.com/,https://www.linkedin.com/company/bdx-data-centers/,Data Centre Developer,bdx
no connection at all,A · Big and blank,Data One,DC developer / operator,Pure-play data center,"Saint-Aubin-sur-Gaillon, France",France,51-200,720,,,,,https://www.groupediffusionplus.fr/implantations-data-one/,https://www.linkedin.com/company/data-one-27/,Data Centre Developer,data-one
no connection at all,A · Big and blank,GARBE.DC,DC developer / operator,Real estate / industrial,"Hamburg, Germany",Germany,11 to 50,700,Primary Focus,2,,,https://www.garbedc.com,https://www.linkedin.com/company/garbedc/,Data Centre Developer,garbe-dc
no connection at all,A · Big and blank,STT Global Data Centres India,DC developer / operator,Pure-play data center,,,,675,,,,,,,Data Centre Developer,stt-global-data-centres-india
no connection at all,A · Big and blank,MCD 7 LLC,DC developer / operator,Pure-play data center,,,,666,,,,,,,Data Centre Developer,mcd-7-llc
no connection at all,A · Big and blank,East Village Dothan LLC.,DC developer / operator,Pure-play data center,,,,660,,,,,,,Data Centre Developer,east-village-dothan-llc
no connection at all,A · Big and blank,Yotta,DC developer / operator,Pure-play data center,"New York, United States",United States,11 to 50,652,,,,,https://www.withyotta.com/,https://www.linkedin.com/company/yottasaving/,Data Centre Developer,yotta
no connection at all,A · Big and blank,Menlo Equities,DC developer / operator,Pure-play data center,"Menlo Park, California, United States",United States,11 to 50,647,Secondary Focus,1,,,http://www.menloequities.com/,https://www.linkedin.com/company/menlo-equities/,Data Centre Developer,menlo-equities
no connection at all,A · Big and blank,YTL,DC developer / operator,Pure-play data center,,,,617,Secondary Focus,,,,,,Data Centre Developer,ytl
no connection at all,A · Big and blank,Bosung Group,DC developer / operator,Pure-play data center,,,,600,,,,,,,Data Centre Developer,bosung-group
no connection at all,A · Big and blank,Penzance,DC developer / operator,Pure-play data center,"Washington DC, United States",United States,51-200,600,,5,,,https://pzredi.com/,https://www.linkedin.com/company/penzance/,Data Centre Developer,penzance
no connection at all,A · Big and blank,VDR Group,DC developer / operator,Pure-play data center,"Orange, California, United States",United States,11 to 50,600,,,,,https://www.vdr.com/,https://www.linkedin.com/company/the-vdr-group-inc./,Data Centre Developer,vdr-group
no connection at all,A · Big and blank,RackBank,DC developer / operator,Pure-play data center,"Indore, Madhya Pradesh, India",India,51-200,590,,,,,https://www.rackbank.com/,https://www.linkedin.com/company/rackbank/?originalSubdomain=in,Data Centre Developer,rackbank
no connection at all,A · Big and blank,DPS Resources,DC developer / operator,Pure-play data center,Melaka,Melaka,"501-1,000",588,,,,,https://dpsland.com/,https://www.linkedin.com/company/dps-resources-bhd/?originalSubdomain=my,Data Centre Developer,dps-resources
no connection at all,A · Big and blank,Racks Central,DC developer / operator,Pure-play data center,Singapore,Singapore,51-200,532,,,,,https://www.rackscentral.com,https://www.linkedin.com/company/racks-central-pte-ltd/,Data Centre Developer,racks-central
no connection at all,A · Big and blank,FF Ventures,DC developer / operator,Pure-play data center,,,,528,,,,,,,Data Centre Developer,ff-ventures
no connection at all,A · Big and blank,CURRENC Group Inc.,DC developer / operator,Pure-play data center,,,,500,,,,,,,Data Centre Developer,currenc-group-inc
no connection at all,A · Big and blank,Panchshil Realty,DC developer / operator,Pure-play data center,"Pune, Maharashtra, India",India,"1,001-5,000",500,Secondary Focus,,,,http://www.panchshil.com,https://www.linkedin.com/company/panchshilrealty/,Data Centre Developer,panchshil-realty
no connection at all,A · Big and blank,Red Admiral DC,DC developer / operator,Pure-play data center,"Tullamore, Ireland",Ireland,,500,,,,,https://lumcloonenergy.com/red-admiral/,,Data Centre Developer,red-admiral-dc
no connection at all,A · Big and blank,FutureData,DC developer / operator,Pure-play data center,,,,483,,,,,,,Data Centre Developer,futuredata
no connection at all,A · Big and blank,XTX Markets,NeoCloud / AI infra,Pure-play data center,"London, United Kingdom",United Kingdom,51-200,478,,,,,https://www.xtxmarkets.com,https://www.linkedin.com/company/xtx-markets/,Data Centre Developer,xtx-markets
no connection at all,A · Big and blank,GreenSquareDC,DC developer / operator,Pure-play data center,"Sydney, New South Wales, Australia",Australia,11 to 50,471,,,,,https://greensquaredc.com/home/,https://www.linkedin.com/company/greensquaredc/,Data Centre Developer,greensquaredc
no connection at all,A · Big and blank,HHHunt,DC developer / operator,Pure-play data center,"Blacksburg, Virginia, United States",United States,201-500,450,,1,,,http://www.hhhunt.com,https://www.linkedin.com/company/hhhunt-corporation/,Data Centre Developer,hhhunt
no connection at all,A · Big and blank,Tillion Data Centers,DC developer / operator,Conglomerate,"Dallas, Texas, United States",United States,11 to 50,450,Primary Focus,1,,,https://www.tillion.digital/,https://www.linkedin.com/company/tilliondigital/,Data Centre Developer,tillion-data-centers
no connection at all,A · Big and blank,K2 Data Centres,DC developer / operator,Pure-play data center,,,,445,,,,,,,Data Centre Developer,k2-data-centres
no connection at all,A · Big and blank,Blackberry AIF,DC developer / operator,Pure-play data center,"Waterloo, Canada",Canada,11 to 50,440,,,,,https://blackberryaif.com/,https://www.linkedin.com/company/blackberry-aif/,Data Centre Developer,blackberry-aif
no connection at all,A · Big and blank,JK Land Holdings,DC developer / operator,Pure-play data center,"Sterling, Virginia, United States",United States,1 to 10,438,,,,,http://jklandholdings.net,https://www.linkedin.com/company/jk-land-holdings/,Data Centre Developer,jk-land-holdings
no connection at all,A · Big and blank,BlackChamber Group,DC developer / operator,Pure-play data center,"Washington D.C., United States",United States,,433,,1,,,https://blackchambergroup.com/,,Data Centre Developer,blackchamber-group
no connection at all,A · Big and blank,ZerraDC,DC developer / operator,Pure-play data center,Singapore,Singapore,11 to 50,430,,,,,https://www.zerradc.com,https://www.linkedin.com/company/zerradc/?originalSubdomain=sg,Data Centre Developer,zerradc
no connection at all,A · Big and blank,Starwood Capital,DC developer / operator,Pure-play data center,"Miami Beach, Florida, United States",United States,"1,001-5,000",426,Secondary Focus,3,,,http://www.starwoodcapital.com,https://www.linkedin.com/company/starwood-capital-group/,Data Centre Developer,starwood-capital
no connection at all,A · Big and blank,Compute Nordic,DC developer / operator,Pure-play data center,London,London,51-200,424,,,,,https://computenordic.com,https://www.linkedin.com/company/computenordic/,Data Centre Developer,compute-nordic
no connection at all,A · Big and blank,Alibaba Cloud,Hyperscaler,Pure-play data center,"Hangzhou, China",China,10001,424,Primary Focus,2,,,https://www.alibabacloud.com/,https://www.linkedin.com/company/alibaba-cloud-computing-company/,Data Centre Developer,alibaba-cloud
no connection at all,A · Big and blank,DCI Data Centers,DC developer / operator,Pure-play data center,"Sydney, Australia",Australia,11 to 50,414,Primary Focus,1,,,https://dcidatacenters.com,https://www.linkedin.com/company/dcidatacenters/,Data Centre Developer,dci-data-centers
no connection at all,A · Big and blank,ZDATA,DC developer / operator,Pure-play data center,"Sao Paulo, Brazil",Brazil,1 to 10,403,,,,,https://www.linkedin.com/company/zdatae,https://www.linkedin.com/company/zdatae/,Data Centre Developer,zdata
no connection at all,A · Big and blank,Centersquare,DC developer / operator,Pure-play data center,"Coppell, Texas, United States",United States,"501-1,000",401,,,,,https://www.csquare.com/,https://www.linkedin.com/company/csquare/,Data Centre Developer,centersquare
no connection at all,A · Big and blank,Active Infrastructure,DC developer / operator,Pure-play data center,"New York, United States",United States,1 to 10,400,,,,,https://www.activeinfra.com/,https://www.linkedin.com/company/active-infrastructure/,Data Centre Developer,active-infrastructure
no connection at all,A · Big and blank,Solaria,DC developer / operator,Pure-play data center,,,,400,,,,,,,Data Centre Developer,solaria
no connection at all,A · Big and blank,Logistix,DC developer / operator,Pure-play data center,,,,400,,,,,,,Data Centre Developer,logistix
no connection at all,A · Big and blank,Art Data Centres,DC developer / operator,Pure-play data center,,,,396,,,,,,,Data Centre Developer,art-data-centres
no connection at all,A · Big and blank,Ascenty,DC developer / operator,Pure-play data center,"Vinhedo, Brazil",Brazil,"501-1,000",393,Primary Focus,14,,,http://www.ascenty.com,https://www.linkedin.com/company/ascenty/,Data Centre Developer,ascenty
no connection at all,A · Big and blank,Firmus Technologies,DC developer / operator,Pure-play data center,,,,390,,,,,,,Data Centre Developer,firmus-technologies
no connection at all,A · Big and blank,Pelagos Data Centres,DC developer / operator,Pure-play data center,Gibraltar,Gibraltar,,380,,,,,https://pelagosdata.com/,,Data Centre Developer,pelagos-data-centres
no connection at all,A · Big and blank,GotSpace Data Partners,DC developer / operator,Pure-play data center,,,,378,,,,,,,Data Centre Developer,gotspace-data-partners
no connection at all,A · Big and blank,Kao Data,DC developer / operator,Pure-play data center,"Harlow, United Kingdom",United Kingdom,11 to 50,377,Primary Focus,11,,,http://kaodata.com/,https://www.linkedin.com/company/kao-data/,Data Centre Developer,kao-data
no connection at all,A · Big and blank,Archbald 25 Developer,DC developer / operator,Pure-play data center,"London, United Kingdom",United Kingdom,51-200,374,,,,,https://www.datacenterdynamics.com/en/tags/archbald-25-developer-llc/,https://www.linkedin.com/company/datacenterdynamics/,Data Centre Developer,archbald-25-developer
no connection at all,A · Big and blank,KDDI Telehouse,DC developer / operator,Pure-play data center,"Staten Island, New York, United States",United States,51-200,366,,,,,https://www.telehouse.com/our-partners/partner-alliances/kddi/,https://www.linkedin.com/company/telehouse-america/,Data Centre Developer,kddi-telehouse
no connection at all,A · Big and blank,ASP Datacenter,DC developer / operator,Pure-play data center,Stavanger,Stavanger,11 to 50,363,,,,,https://www.aspdatacenter.no/,https://www.linkedin.com/company/asp-data-center/,Data Centre Developer,asp-datacenter
no connection at all,A · Big and blank,Herbata Ltd,DC developer / operator,Pure-play data center,,,,360,,,,,,,Data Centre Developer,herbata-ltd
no connection at all,A · Big and blank,TA Realty,DC developer / operator,Pure-play data center,"Boston, Massachusetts, United States",United States,51-200,352,Secondary Focus,3,,,https://www.tarealty.com/,https://www.linkedin.com/company/ta-realty/,Data Centre Developer,ta-realty
no connection at all,A · Big and blank,Hyperscale Data Inc,NeoCloud / AI infra,Pure-play data center,"Las Vegas, Nevada",Nevada,201-500,340,Primary Focus,,,,https://hyperscaledata.com/,https://www.linkedin.com/company/hyperscaledata/,Data Centre Developer,hyperscale-data-inc
no connection at all,A · Big and blank,Western Hospitality Partners,DC developer / operator,Pure-play data center,,,,330,,,,,,,Data Centre Developer,western-hospitality-partners
no connection at all,A · Big and blank,Centrin Data Systems,DC developer / operator,Pure-play data center,"Beijing, China",China,201-500,327,,,,,http://www.centrin.com.cn,https://www.linkedin.com/company/centrin-data-system/,Data Centre Developer,centrin-data-systems
no connection at all,A · Big and blank,Tencent,Hyperscaler,Pure-play data center,"Shenzhen, China",China,10001,321,Primary Focus,,,,https://www.tencent.com/en-us/,https://www.linkedin.com/company/tencentglobal/,Data Centre Developer,tencent
no connection at all,A · Big and blank,Urbacon Data Centre Solutions,DC developer / operator,Pure-play data center,Toronto,Toronto,51-200,318,,,,,http://udcsdatacentres.com/,https://www.linkedin.com/company/urbacon-data-centre-solutions/,Data Centre Developer,urbacon-data-centre-solutions
no connection at all,A · Big and blank,Beijing Sinnet Technology,DC developer / operator,Pure-play data center,China,China,,316,,,,,https://en.sinnet.com.cn/,,Data Centre Developer,beijing-sinnet-technology
no connection at all,A · Big and blank,Global Data Centre,DC developer / operator,Pure-play data center,"Sydney, Australia",Australia,,311,,,,,https://www.globaldatacentres.com.au/,,Data Centre Developer,global-data-centre
no connection at all,A · Big and blank,Pennhurst Group LLC,DC developer / operator,Pure-play data center,"Frazer, United States",United States,51-200,310,,,,,http://www.clarityservicegroup.com,https://www.linkedin.com/company/clarity-service-group--a-member-of-the-pennhurst-group-llc/,Data Centre Developer,pennhurst-group-llc
no connection at all,A · Big and blank,Form8tion Data Centers,DC developer / operator,Real estate / industrial,"London, United Kingdom",United Kingdom,,308,Primary Focus,9,,,https://www.form8tion.net/data-centers/,https://www.linkedin.com/company/form8tion/,Data Centre Developer,form8tion-data-centers
no connection at all,A · Big and blank,APL,DC developer / operator,Pure-play data center,"Arlington, Virginia",Virginia,"5,001-10,000",300,,,,,http://www.apl.com,https://www.linkedin.com/company/apl/,Data Centre Developer,apl
no connection at all,A · Big and blank,Beijing Haoyang,DC developer / operator,Pure-play data center,"Beijing, China",China,,300,,,,,https://en.haoyangcloud.com/,,Data Centre Developer,beijing-haoyang
no connection at all,A · Big and blank,Eclairion,DC developer / operator,Pure-play data center,France,France,11 to 50,300,,,,,https://eclairion.com/,https://www.linkedin.com/company/eclairion/,Data Centre Developer,eclairion
no connection at all,A · Big and blank,Endec Group,DC developer / operator,Pure-play data center,,,,300,,,,,,,Data Centre Developer,endec-group
no connection at all,A · Big and blank,MSFusion,DC developer / operator,Pure-play data center,"Johor Bahru, Johor, Malaysia",Malaysia,,300,,,,,https://ms-fusion.com/,,Data Centre Developer,msfusion
no connection at all,A · Big and blank,Province Group,DC developer / operator,Pure-play data center,"Newport Beach, California, United States",United States,1 to 10,300,,,,,http://www.provincegroup.com/,https://www.linkedin.com/company/province-group/,Data Centre Developer,province-group
no connection at all,A · Big and blank,Vingroup,DC developer / operator,Pure-play data center,"Hanoi, Vietnam",Vietnam,"501-1,000",300,,,,,https://vingroup.net/,https://www.linkedin.com/company/vingroupvietnam/,Data Centre Developer,vingroup
no connection at all,A · Big and blank,Cielo Digital Infrastructure,DC developer / operator,Pure-play data center,"Spring, Texas, United States",United States,1 to 10,296,Primary Focus,,,,https://cieloinfra.com/,https://www.linkedin.com/company/cielo-digital-infrastructure/,Data Centre Developer,cielo-digital-infrastructure
no connection at all,A · Big and blank,Montana Property Group LLC,DC developer / operator,Pure-play data center,,,,296,,,,,,,Data Centre Developer,montana-property-group-llc
no connection at all,A · Big and blank,OneAs1a,DC developer / operator,Pure-play data center,,,,294,,,,,,,Data Centre Developer,oneas1a
