function,title,count,companies,used_at
Development & Real Estate,Senior Development Manager EMEA,1,1,Vantage
Development & Real Estate,Senior Development Program Manager,1,1,QTS Data Centers
Development & Real Estate,Senior Development Project Engineer,1,1,QTS Data Centers
Development & Real Estate,Senior Director - Site Development,1,1,Core Scientific
Development & Real Estate,Senior Director of Data Center Development,1,1,Strata Clean Energy
Development & Real Estate,Senior Director of Project Development,1,1,Hanwha Data Centers
Development & Real Estate,Senior Director Predevelopment,1,1,QTS Data Centers
Development & Real Estate,"Senior Director, Acquisitions & Investments EMEA",1,1,Digital Realty
Development & Real Estate,"Senior Director, Asset Management & Development",1,1,American Real Estate Partners
Development & Real Estate,"Senior Director, Data Center Project Development",1,1,Hanwha Data Centers
Development & Real Estate,"Senior Director, Development and Real Estate",1,1,Atmosphere Data Centers
Development & Real Estate,"Senior Director, Development, EMEA",1,1,CloudHQ
Development & Real Estate,"Senior Director, EMEA land development/permitting",1,1,Microsoft
Development & Real Estate,"Senior Director, Emea Real Estate Strategy And Site Acquisitions",1,1,Vantage
Development & Real Estate,"Senior Director, Entitlements",1,1,Tract
Development & Real Estate,"Senior Director, Land Development AMERs",1,1,Microsoft
Development & Real Estate,"Senior Director, Land Strategy & Acquisition",1,1,CyrusOne
Development & Real Estate,"Senior Director, Real Estate Corporate Development, EMEA",1,1,Equinix
Development & Real Estate,"Senior Director, Real Estate Expansion EMEA VIRTUS",1,1,Virtus Data Centers
Development & Real Estate,"Senior Director, Site Selection",1,1,Rowan Digital Infrastructure
Development & Real Estate,Senior Investment and Acquisition Manager,1,1,AWS
Development & Real Estate,Senior Land Development Program Manager,1,1,Microsoft
Development & Real Estate,Senior Manager - Construction & Development,1,1,CyrusOne
Development & Real Estate,Senior Manager - Construction and Development,1,1,CyrusOne
Development & Real Estate,Senior Manager - Due Diligence & Site Selection EMEA,1,1,STACK Infrastructure
Development & Real Estate,Senior Manager Acquisitions & Investments,1,1,Digital Realty
Development & Real Estate,Senior Manager Site Acquisition EMEA,1,1,AWS
Development & Real Estate,"Senior Manager, AMER Real Estate",1,1,Equinix
Development & Real Estate,"Senior Manager, Construction & Development",1,1,CyrusOne
Development & Real Estate,"Senior Manager, Development",1,1,Beale
Development & Real Estate,"Senior Manager, Development Strategy, NA",1,1,Vantage
Development & Real Estate,"Senior Manager, Land Enablement",1,1,Aligned Data Centers
Development & Real Estate,"Senior Manager, Site Development, Americas",1,1,EdgeConneX
Development & Real Estate,Senior Portfolio Manager | EMEA Real Estate & Infrastructure development,1,1,Google
Development & Real Estate,Senior Pre-Development Project Manager,1,1,QTS Data Centers
Development & Real Estate,"Senior Pre-Development Project Manager, EMEA",1,1,QTS Data Centers
Development & Real Estate,Senior Predevelopment Project Manager,1,1,QTS Data Centers
Development & Real Estate,Senior Principle Site Acquisition Manager,1,1,Oracle
Development & Real Estate,Senior Program Manager | Cloud Infrastructure Acquisition- Lease & Land Development,1,1,Microsoft
Development & Real Estate,"Senior Program Manager, Site Acquisition - EMEA",1,1,Microsoft
Development & Real Estate,Senior Real Estate Acquisition Manager EMEA,1,1,AWS
Development & Real Estate,Senior Real Estate Development Manager - Data Center Supply Solutions,1,1,AWS
Development & Real Estate,Senior Real Estate Development Manager Data Center Supply,1,1,AWS
Development & Real Estate,"Senior Real Estate Development Manager, AWS Data Center Supply Solutions",1,1,AWS
Development & Real Estate,"Senior Real Estate Development Manager, Data Center Supply Solution",1,1,AWS
Development & Real Estate,"Senior Real Estate Development Manager, Data Center Supply Solutions",1,1,AWS
Development & Real Estate,"Senior Real Estate Development Manager, Data Center Supply Solutions (EMEA)",1,1,AWS
Development & Real Estate,"Senior Real Estate Transaction Manager, EMEA",1,1,AWS
Development & Real Estate,Senior Site Acquisition Manager Northern Europe Co+I (Cloud And Innovation),1,1,Microsoft
Development & Real Estate,Senior Site Acquisitions Manager - Data Centre Supply Solutions (DCSS),1,1,AWS
Development & Real Estate,Senior Strategic Negotiator at Google,1,1,Google
Development & Real Estate,"Senior Strategic Negotiator, Third Party Data Centers",1,1,Google
Development & Real Estate,Senior Vice President - Development,1,1,Beale
Development & Real Estate,Senior Vice President - Development - STACK Americas,1,1,STACK Infrastructure
Development & Real Estate,Senior Vice President - Investments & Land Strategy,1,1,Tract
Development & Real Estate,Senior Vice President - Land Strategy,1,1,Tract
Development & Real Estate,Senior Vice President - Site Acquisitions,1,1,CloudHQ
Development & Real Estate,Senior Vice President Development,1,1,Vantage
Development & Real Estate,Senior Vice President Global Real Estate and Site Development,1,1,EdgeConneX
Development & Real Estate,Senior Vice President of Global Real Estate,1,1,Equinix
Development & Real Estate,"Senior Vice President, Data Center Development & Construction",1,1,PowerHouse Data Centers
Development & Real Estate,"Senior Vice President, Entitlements",1,1,American Real Estate Partners
Development & Real Estate,"Senior Vice President, Land Development",1,1,Tract
Development & Real Estate,Senior VP Acquisitions & Investments - EMEA,1,1,Digital Realty
Development & Real Estate,Site Acquisition and Leasing Manager,1,1,AWS
Development & Real Estate,"Site Acquisition/Transaction, APAC Real Estate",1,1,Vantage
Development & Real Estate,Site Acquisitions Manager,1,1,ByteDance
Development & Real Estate,"Site Acquisitions Mgr, Data Center Supply Solutions",1,1,AWS
Development & Real Estate,Site Development Manager,1,1,Scandinavian Data Centers
Development & Real Estate,Site Development Program Manager,1,1,Verrus
Development & Real Estate,Site Development Program Team Manager,1,1,Meta
Development & Real Estate,Site Selection & Colocation,1,1,Nebius
Development & Real Estate,Site selection & development,1,1,Sepia Infrastructure
Development & Real Estate,Site Selection & Project Development Manager,1,1,Stream Data Centers
Development & Real Estate,Site Selection - Leasing,1,1,Meta
Development & Real Estate,Site Selection and Development,1,1,Nscale
Development & Real Estate,Site Selection and Development Manager,1,1,Stream Data Centers
Development & Real Estate,"Site Selection and Transaction Manager, EMEA",1,1,Vantage
Development & Real Estate,Site selection Director,1,1,Green Mountain AS - Data centres
Development & Real Estate,Site Selection Director APAC,1,1,Vantage
Development & Real Estate,Site Selection Manager - Strategic Acquisitions,1,1,Meta
Development & Real Estate,"Site Selection Manager, Strategic Acquisitions",1,1,Meta
Development & Real Estate,Site Selection Strategy Manager,1,1,Meta
Development & Real Estate,"Snr. Director, Real Estate and Regional Business Development",1,1,Equinix
Development & Real Estate,Sr Director Land Acquisition,1,1,Microsoft
Development & Real Estate,Sr Real Estate Development Mgr,1,1,AWS
Development & Real Estate,Sr. Development Project Manager,1,1,QTS Data Centers
Development & Real Estate,"Sr. Director, Campus Development",1,1,Quantica Infrastructure
Development & Real Estate,"Sr. Director, Site Selection & Development",1,1,Tract
Development & Real Estate,"Sr. Director, Site Selection, Acquisitions, and Location Strategy",1,1,Vantage
Development & Real Estate,Sr. Land Acquisition Manager,1,1,Microsoft
Development & Real Estate,Sr. Land Acquisition Mgr,1,1,Microsoft
Development & Real Estate,Sr. Manager Land Development,1,1,AWS
Development & Real Estate,"Sr. Manager, America's Data Center Planning Lead",1,1,Google
Development & Real Estate,"Sr. Project Manager, Construction & Development",1,1,CyrusOne
Development & Real Estate,Sr. Real Estate Developement Manager-AWS,1,1,AWS
Development & Real Estate,Sr. Site Acquisition Manager,1,1,Microsoft
Development & Real Estate,Strategic Negotiator (Site Selection),1,1,Google
Development & Real Estate,Strategic Negotiator - Acquisitions and Development,1,1,Google
Development & Real Estate,Strategic Negotiator - Data Centre Development,1,1,Google
Development & Real Estate,Strategic Negotiator – Data Center Leasing & Acquisitions,1,1,Google
Development & Real Estate,"Strategic Negotiator, Data Center Site Acquisitions and Development",1,1,Google
Development & Real Estate,"Strategic Negotiator, Data Centers",1,1,Google
Development & Real Estate,"Strategic Negotiator, Datacenter Site Acquisition & Development",1,1,Google
Development & Real Estate,"Strategic Negotiator, Market Development",1,1,Google
Development & Real Estate,Strategy and Development Manager,1,1,Google
Development & Real Estate,SVP Development,1,1,Vantage
Development & Real Estate,SVP Real Estate,1,1,metrobloks
Development & Real Estate,"SVP, Data Center Land Acquisition and Development",1,1,ACS Infrastructure
Development & Real Estate,"SVP, Location Strategy & Development",1,1,Stream Data Centers
Development & Real Estate,Vice President - Acquisitions and Development,1,1,CoreSite
Development & Real Estate,Vice President - Datacenter Development,1,1,Gravity Edge - a BlackRock and DGP platform
Development & Real Estate,Vice President - Development,1,1,QTS Data Centers
Development & Real Estate,Vice President - Investments & Land Strategy,1,1,Tract
Development & Real Estate,Vice President - National Real Estate,1,1,EdgeConneX
Development & Real Estate,Vice President - Real Estate & Site Acquisition,1,1,Flexential
Development & Real Estate,Vice President - Site Strategy & Development,1,1,Applied Digital
Development & Real Estate,Vice President - Strategy & Development,1,1,Aligned Data Centers
Development & Real Estate,Vice President / Site Selection & Transaction,1,1,maincubes
Development & Real Estate,Vice President Acquisition,1,1,CleanArc Data Centers
Development & Real Estate,Vice President Acquisition & Development,1,1,Polar
Development & Real Estate,Vice President Development,1,1,Vantage
Development & Real Estate,Vice President of Data Center Development,1,1,Crane Data Centers
Development & Real Estate,Vice President of Development & Design,1,1,CoreSite
Development & Real Estate,Vice President of Land Development,1,1,Serverfarm
Development & Real Estate,Vice President of Project Development,1,1,TeraWulf
Development & Real Estate,Vice President Real Estate & Acquistions,1,1,AGPDC
Development & Real Estate,Vice President Real Estate and Site Development,1,1,EdgeConneX
Development & Real Estate,"Vice President Site Selection & Acquisitions, Asia Pacific",1,1,Vantage
Development & Real Estate,Vice President Strategy & Development,1,1,STACK Infrastructure
Development & Real Estate,Vice President | Real Estate,1,1,Serverfarm
Development & Real Estate,"Vice President, Asset Management & Development",1,1,American Real Estate Partners
Development & Real Estate,"Vice President, Development Capital",1,1,QTS Data Centers
Development & Real Estate,"Vice President, Development Finance",1,1,Colovore
Development & Real Estate,"Vice President, EMEA Site Acquisitions & Development",1,1,Vantage
Development & Real Estate,"Vice President, Hyperscale Development",1,1,Beacon AI Centers
Development & Real Estate,"Vice President, Italy",1,1,EdgeConneX
Development & Real Estate,"Vice President, Japan Country Manager",1,1,CloudHQ
Development & Real Estate,"Vice President, Land Acquisition",1,1,EdgeCore Digital Infrastructure
Development & Real Estate,"Vice President, Land Strategy & Investments - Tract Europe",1,1,Tract
Development & Real Estate,"Vice President, Program Development",1,1,Aligned Data Centers
Development & Real Estate,"Vice President, Real Estate & Facilities",1,1,NTT
Development & Real Estate,"Vice President, Site Development",1,1,Core Scientific
Development & Real Estate,"Vice President, Site Development EMEA",1,1,EdgeConneX
Development & Real Estate,"Vice President, Site Selection",1,1,KDC Real Estate Development & Investments
Development & Real Estate,"Vice President, Strategic Initiatives, APAC",1,1,Princeton Digital Group
Development & Real Estate,"Vice President, Strategy & Development",1,1,STACK Infrastructure
Development & Real Estate,VP Development - Phoenix,1,1,QTS Data Centers
Development & Real Estate,"VP Development, EMEA",1,1,Serverfarm
Development & Real Estate,VP Global Site Selection & Corporate Development,1,1,Iron Mountian
Development & Real Estate,VP Sales & Development,1,1,Vaultica Data Centers
Development & Real Estate,VP Strategic Development EMEAI,1,1,EdgeConneX
Development & Real Estate,"VP, Acquisitions",1,1,Legacy Investing
Development & Real Estate,"VP, Business & Project Development EMEA",1,1,Prime Data Centers
Development & Real Estate,"VP, Development Strategy",1,1,Skybox Datacenters
Development & Real Estate,"VP, Global Site Selection Lead",1,1,Ada Infrastructure
Development & Real Estate,"VP, Hyperscale Development",1,1,QTS Data Centers
Development & Real Estate,"VP, Infrastructure Planning and Development",1,1,Corscale Data Centers
Development & Real Estate,"VP, North American Development Lead",1,1,Ada Infrastructure
Development & Real Estate,"VP, Real Estate and Site Development",1,1,EdgeConneX
Energy & Utilities,Energy Manager,3,1,Meta
Energy & Utilities,Energy Program Manager,3,2,Meta; Microsoft
Energy & Utilities,"Vice President, Utility Development",3,1,Tract
Energy & Utilities,"Director, Energy Origination",2,1,Hut 8
Energy & Utilities,"Director, Utility Engagement",2,1,QTS Data Centers
Energy & Utilities,Energy Projects Manager,2,2,AWS; Tract
Energy & Utilities,Energy Specialist,2,2,Digital Realty; NTT
Energy & Utilities,Energy Strategic Negotiator,2,1,Google
Energy & Utilities,"Principal, Energy Strategy",2,2,AWS; CoreWeave
Energy & Utilities,Utility Development Program Manager,2,1,QTS Data Centers
Energy & Utilities,VP Energy Strategy,2,2,Aligned Data Centers; Tract
Energy & Utilities,(former) Vice President Electric Utilities,1,1,STACK Infrastructure
Energy & Utilities,Chief Energy Officer,1,1,CleanArc Data Centers
Energy & Utilities,Chief Utility Innovation Officer,1,1,QTS Data Centers
Energy & Utilities,Data Center Clean Energy,1,1,Google
Energy & Utilities,Data Center Clean Energy Strategy,1,1,Google
Energy & Utilities,Data Center Energy & Location Strategy,1,1,Google
Energy & Utilities,Data Center Energy Program Manager,1,1,Meta
Energy & Utilities,Data Center Energy Strategic Negotiator,1,1,Google
Energy & Utilities,"Data Center Energy Strategy, Americas",1,1,Google
Energy & Utilities,Data Center Transmission Lead,1,1,Google
Energy & Utilities,Data Centre Energy & Location Strategy - EMEA,1,1,Google
Energy & Utilities,Director - EMEA Energy Risk Management,1,1,Digital Realty
Energy & Utilities,Director - Energy & Infrastructure Commercial Development,1,1,Crusoe
Energy & Utilities,Director - Energy Origination & Development,1,1,TeraWulf
Energy & Utilities,Director - Grid Utility Management and Power Efficiency,1,1,Microsoft
Energy & Utilities,Director - Power Solutions,1,1,CoreSite
Energy & Utilities,Director Energy,1,1,DC BLOX
Energy & Utilities,Director of Energy Operations - Americas,1,1,Equinix
Energy & Utilities,Director of Energy Strategy,1,1,Skybox Datacenters
Energy & Utilities,Director of Power Solutions,1,1,PointOne
Energy & Utilities,Director of Utilities AMER,1,1,Yondr
Energy & Utilities,Director of Utility Coordination | Energy Development,1,1,Sabey Data Centers
Energy & Utilities,Director of Utility Engagement,1,1,QTS Data Centers
Energy & Utilities,Director Power Infrastructure Procurement,1,1,CyrusOne
Energy & Utilities,Director Utility Delivery,1,1,QTS Data Centers
Energy & Utilities,"Director, Clean Energy & Innovation",1,1,Equinix
Energy & Utilities,"Director, Data Center Energy & Location Strategy",1,1,Google
Energy & Utilities,"Director, Energy",1,1,Beale
Energy & Utilities,"Director, Energy Innovation",1,1,QTS Data Centers
Energy & Utilities,"Director, Energy Origination & Structuring, EMEA",1,1,Equinix
Energy & Utilities,"Director, Energy Planning, NA",1,1,Vantage
Energy & Utilities,"Director, Energy Site Selection and Utilities",1,1,Equinix
Energy & Utilities,"Director, Interconnection",1,1,CyrusOne
Energy & Utilities,"Director, Interconnection Infrastructure, NA",1,1,Vantage
Energy & Utilities,"Director, Location and Power Strategy",1,1,CyrusOne
Energy & Utilities,"Director, Power And Energy",1,1,CyrusOne
Energy & Utilities,"Director, Power and Energy",1,1,CyrusOne
Energy & Utilities,"Director, Transmission Planning",1,1,Tract
Energy & Utilities,"Director, Utilities - Europe",1,1,QTS Data Centers
Energy & Utilities,"Director, Utility Connections",1,1,Aligned Data Centers
Energy & Utilities,"Director, Utility Delivery",1,1,QTS Data Centers
Energy & Utilities,Energy & Infrastructure - Energy Strategic Negotiator,1,1,Google
Energy & Utilities,"Energy & Infrastructure, Global Data Centers",1,1,Google
Energy & Utilities,Energy & Location Strategy,1,1,Google
Energy & Utilities,Energy + Data Centers + Energy Infrastructure,1,1,Vantage
Energy & Utilities,Energy and Sustainability Senior Manager,1,1,Equinix
Energy & Utilities,"Energy Delivery Manager, NA",1,1,Vantage
Energy & Utilities,"Energy Development Project Manager, NA",1,1,Vantage
Energy & Utilities,Energy Leader @ Amazon Web Services,1,1,AWS
Energy & Utilities,Energy Market Development,1,1,Google
Energy & Utilities,Energy Market Development Strategic Negotiator,1,1,Google
Energy & Utilities,"Energy Markets & Commercial, Program Manager",1,1,Microsoft
Energy & Utilities,Energy Portfolio Manager,1,1,Compass Datacenters
Energy & Utilities,Energy Procurement Expert,1,1,Equinix
Energy & Utilities,Energy Project Manager,1,1,Tract
Energy & Utilities,Energy Strategy,1,1,Google
Energy & Utilities,Energy strategy & origination (vice president),1,1,Tract
Energy & Utilities,Energy Strategy Lead,1,1,Rowan Digital Infrastructure
Energy & Utilities,Energy Strategy Manager,1,1,AWS
Energy & Utilities,"Executive Vice President, EnergyHQ",1,1,CloudHQ
Energy & Utilities,Global Energy and Sustainability,1,1,Apple
Energy & Utilities,Global Energy and Sustainability Team,1,1,Apple
Energy & Utilities,Global Infrastructure and Energy,1,1,Google
Energy & Utilities,Global Power Delivery Lead,1,1,Google
Energy & Utilities,Head of Energy & Procurement,1,1,Panattoni
Energy & Utilities,Head of Energy Strategy,1,1,Edged
Energy & Utilities,"Head of Energy, Leasing and Land",1,1,Anthropic
Energy & Utilities,Head of Power Marketing,1,1,Statkraft
Energy & Utilities,Lead EMEA - Global Infrastructure Energy and Location Strategy,1,1,Google
Energy & Utilities,Lead Power Engineer Data Center Ops,1,1,Applied Digital
Energy & Utilities,"Lead, Commercial Structuring, Global Energy and Infrastructure",1,1,Google
Energy & Utilities,"Lead, Global Infrastructure; Energy & Location Strategy",1,1,Google
Energy & Utilities,Manager Emea Utilities,1,1,Yondr
Energy & Utilities,"Manager, Data Center Energy & Global Infrastructure",1,1,Google
Energy & Utilities,"Manager, Energy & Power Transaction Management",1,1,CoreWeave
Energy & Utilities,"Manager, Energy & Sustainability",1,1,Beale
Energy & Utilities,"Manager, Energy Manager",1,1,Cloverleaf Infrastructure
Energy & Utilities,"Manager, Energy Markets",1,1,Microsoft
Energy & Utilities,"Manager, Energy Strategy",1,1,QTS Data Centers
Energy & Utilities,"Manager, Renewable Energy Strategy",1,1,Apple
Energy & Utilities,"Manager, Utility Projects and Development",1,1,Switch
Energy & Utilities,Power & Energy Manager Europe,1,1,CyrusOne
Energy & Utilities,Power And Sustainability Analyst,1,1,EdgeConneX
Energy & Utilities,"Power Generation Solutions Senior Director, NA",1,1,Vantage
Energy & Utilities,Power Infrastructure Project Manager,1,1,Microsoft
Energy & Utilities,Principal - Energy,1,1,Microsoft
Energy & Utilities,Principal Utility Program Manager,1,1,NTT
Energy & Utilities,"Principal, Energy Program Manager",1,1,Cloverleaf Infrastructure
Energy & Utilities,"Principal, Global Energy Strategy & Infrastructure Investment",1,1,AWS
Energy & Utilities,Procurement Category Manager - High Voltage/Substation/Power Generation,1,1,Aligned Data Centers
Energy & Utilities,"Procurement Manager - Substation, NA",1,1,Vantage
Energy & Utilities,"Program Manager, Data Center Energy & Location Strategy",1,1,Google
Energy & Utilities,"Program Manager, Energy",1,1,Meta
Energy & Utilities,"Program Manager, New Energy Markets Development",1,1,Microsoft
Energy & Utilities,Regional Strategy Lead – Global Infrastructure & Energy,1,1,Google
Energy & Utilities,Renewable Energy Asset Manager,1,1,Microsoft
Energy & Utilities,Renewable Energy Manager,1,1,Meta
Energy & Utilities,Senior Director - Energy Strategy & Transmission Planning,1,1,Tract Capital Management
Energy & Utilities,Senior Director - Head of Digital - Data Center Design & Construction | Energy & Sustainability,1,1,Equinix
Energy & Utilities,Senior Director Power & Energy,1,1,NTT
Energy & Utilities,"Senior Director, Energy and Utilities",1,1,Applied Digital
Energy & Utilities,"Senior Director, Energy Strategy",1,1,Cologix
Energy & Utilities,"Senior Director, Power Generation and Transmission",1,1,CyrusOne
Energy & Utilities,Senior Energy Markets Program Manager,1,1,Microsoft
Energy & Utilities,"Senior Energy Program Manager, Nordics Energy Lead",1,1,Microsoft
Energy & Utilities,Senior Energy Strategy Manager,1,1,AWS
Energy & Utilities,Senior Energy Systems Engineer,1,1,Microsoft
Energy & Utilities,Senior Energy Trader/Analyst,1,1,Switch
Energy & Utilities,Senior Lead - Energy & Location Strategy,1,1,Google
Energy & Utilities,Senior Manager - Energy Development,1,1,EdgeConneX
Energy & Utilities,Senior Manager Substation,1,1,Microsoft
Energy & Utilities,"Senior Manager, Data Center Energy",1,1,Hanwha Data Centers
Energy & Utilities,"Senior Manager, Energy Markets",1,1,Microsoft
Energy & Utilities,"Senior Manager, Energy Strategy & Procurement",1,1,Aligned Data Centers
Energy & Utilities,"Senior Manager, Substation and Transmission",1,1,Crusoe
Energy & Utilities,"Senior Manager, Utility Development",1,1,QTS Data Centers
Energy & Utilities,Senior Power Deliver Manager,1,1,CyrusOne
Energy & Utilities,Senior Program Manager - Energy,1,1,Microsoft
Energy & Utilities,Senior Renewable Energy Program Manager,1,1,Microsoft
Energy & Utilities,"Senior Specialist, Energy and Renewables",1,1,Equinix
Energy & Utilities,"Senior Technical Program Manager, Data Centre Energy and Location Strategy",1,1,Google
Energy & Utilities,"Senior Vice President, Data Center Utilities",1,1,PowerHouse Data Centers
Energy & Utilities,"Senior Vice President, Energy",1,1,CyrusOne
Energy & Utilities,"Senior Vice President, Energy and Utilities",1,1,QTS Data Centers
Energy & Utilities,"Senior Vice President, Energy, EMEA",1,1,Vantage
Energy & Utilities,"Senior Vice President, Global Energy",1,1,Equinix
Energy & Utilities,"Sr Manager, Data Center Energy & Location Strategy",1,1,Google
Energy & Utilities,Sr. Energy Markets Program Manager,1,1,Microsoft
Energy & Utilities,Sr. Manager Energy & Sustainability,1,1,Digital Realty
Energy & Utilities,Sr. Power Generation Portfolio Manager,1,1,Aligned Data Centers
Energy & Utilities,"Sr. Vice President, Energy Strategy",1,1,Stream Data Centers
Energy & Utilities,Sr.Engineering Manager. Utility data center,1,1,Aligned Data Centers
Energy & Utilities,SRL Manager - Energy Location & Strategy Middle East & Africa,1,1,Google
Energy & Utilities,Strategic Negotiator - Data Center Energy,1,1,Google
Energy & Utilities,Strategic Negotiator - Datacenter and Energy,1,1,Google
Energy & Utilities,Strategic Negotiator - Energy and Location Strategy,1,1,Google
Energy & Utilities,Strategic Negotiator – Lead | Global Infrastructure – Data Centre Energy & Location Strategy,1,1,Google
Energy & Utilities,SVP - Global Head of Energy,1,1,Digital Realty
Energy & Utilities,"SVP, Head of Utility Development",1,1,Tract
Energy & Utilities,Transmission and Interconnection Director,1,1,Switch
Energy & Utilities,Utilities Manager (Data Centers) - EMEA,1,1,Yondr
Energy & Utilities,Utility Infrastructure Specialist,1,1,CleanArc Data Centers
Energy & Utilities,Vice President - Energy and Sustainability,1,1,QTS Data Centers
Energy & Utilities,"Vice President - Global Design & Construction | Energy Operations, CleanTech & Systems",1,1,Equinix
Energy & Utilities,Vice President Energy Business Development,1,1,Vantage
Energy & Utilities,"Vice President Energy Innovation & Sustainability, NA",1,1,Vantage
Energy & Utilities,Vice President Energy Procurement,1,1,Tract
Energy & Utilities,Vice President of Energy Development,1,1,Skybox Datacenters
Energy & Utilities,Vice President of Energy Strategy,1,1,Applied Digital
Energy & Utilities,Vice President of Power Generation,1,1,Tract
Energy & Utilities,Vice President Transmission and Utility Partnerships,1,1,Prometheus Hyperscale
Energy & Utilities,"Vice President, Electric Utilities",1,1,STACK Infrastructure
Energy & Utilities,"Vice President, Energy Flexential",1,1,Flexential
Energy & Utilities,"Vice President, Energy Project Development",1,1,Vantage
Energy & Utilities,"Vice President, Origination and Energy Development",1,1,Tract
Energy & Utilities,"Vice President, Power",1,1,Core Scientific
Energy & Utilities,"Vice President, Power & Utilities",1,1,EdgeCore Digital Infrastructure
Energy & Utilities,"Vice President, Power Analytics",1,1,Core Scientific
Energy & Utilities,"Vice President, Utilities, Global",1,1,Yondr
Energy & Utilities,"Vice President, Utility Technical Services",1,1,QTS Data Centers
Energy & Utilities,VP Energy,1,1,DC BLOX
Energy & Utilities,VP Energy & Sustainability,1,1,Yondr
Energy & Utilities,VP Engineering & Utilities Europe and Japan,1,1,CyrusOne
Energy & Utilities,VP of Energy,1,1,Hut 8
Energy & Utilities,VP of Power Supply,1,1,Switch
Energy & Utilities,VP Power & Emissions,1,1,Compass Datacenters
Energy & Utilities,VP Power Development,1,1,Compass Datacenters
Energy & Utilities,"VP, Energy & Sustainability",1,1,Beale
Energy & Utilities,"VP, Energy - Head of Power Solution Development & Delivery",1,1,Vantage
Energy & Utilities,"VP, Energy Infrastructure and Grid Development",1,1,Lambda
Energy & Utilities,"VP, Utility Infrastructure",1,1,Aligned Data Centers
Executive leadership,Chief Development Officer,10,10,Aligned Data Centers; Applied Digital; Cloverleaf Infrastructure; DC BLOX; Goodman North America; IREN; New Era Energy & Digital; Serverfarm; Skybox Datacenters; T5 Data Centers
Executive leadership,Chief Commercial Officer,5,5,Bulk Data Centers; CleanArc Data Centers; DATA4; EdgeCore Digital Infrastructure; Gulf Data Hub
Executive leadership,Chief Development Officer (CDO),5,5,CleanArc Data Centers; Cologix; Evoque Data Center Solutions; Rowan Digital Infrastructure; Stream Data Centers
Executive leadership,Chief Executive Officer,3,3,DC BLOX; GreenScale Data Centres; Skybox Datacenters
Executive leadership,Chief Commercial Officer (CCO),2,2,Verne; Yondr
Executive leadership,Chief Revenue Officer,2,2,Apto; Start Campus
Executive leadership,Chief Revenue Officer (CRO),2,2,Ark Data Centres; Virtus Data Centers
Executive leadership,Founder & CEO,2,2,CF DC Consultancy; CloudHQ
Executive leadership,President,2,2,Compass Datacenters; World Wide Professional Solutions
Executive leadership,Chief Business Officer,1,1,T5 Data Centers
Executive leadership,Chief Commercial Officer and Partner,1,1,Stream Data Centers
Executive leadership,"Chief Development Officer, Executrive Managing Director.",1,1,GARBE.DC
Executive leadership,"Chief Development Officer, NA",1,1,Vantage
Executive leadership,Chief Executive Officer and Founder,1,1,Heim Datacenter
Executive leadership,Chief Information Officer,1,1,EdgeConneX
Executive leadership,Chief Marketing Officer,1,1,EdgeConneX
Executive leadership,Chief Marketing Officer (Director Of Sales & Marketing),1,1,Echelon Data Centres
Executive leadership,Chief Technology Officer,1,1,Montera Infrastructure
Executive leadership,Co-Founder & CCO,1,1,MatchPointDC
Executive leadership,Co-Founder & Chief Development Officer (CDO),1,1,LightHouse Data Centers
Executive leadership,COO,1,1,Alta Infrastructure
Executive leadership,Country Managing Director,1,1,DATA4
Executive leadership,CTO,1,1,Stream Data Centers
Executive leadership,Founder,1,1,Infrawatt Development
Executive leadership,General Manager - Site acquisition and development - Scandinavia,1,1,Nscale
Executive leadership,Managing Director,1,1,Form8tion Data Centers
Executive leadership,Managing Director - Europe,1,1,CyrusOne
Executive leadership,Managing Director APAC,1,1,CloudHQ
Executive leadership,Managing Director Europe,1,1,Virtus Data Centers
Executive leadership,Managing Director Germany,1,1,nLighten
Executive leadership,Managing Director Italy,1,1,Virtus Data Centers
Executive leadership,Managing Director Malaysia & Thailand,1,1,Digital Edge DC
Executive leadership,Managing Director National Industrial Development Services,1,1,Stream Realty Partners
Executive leadership,Managing Director UK,1,1,nLighten
Executive leadership,"Managing Director, Acquisitions",1,1,PowerHouse Data Centers
"Legal, People & Support",Chief Safety & Infrastructure Officer,1,1,QTS Data Centers
"Legal, People & Support","Deputy General Counsel, VP",1,1,QTS Data Centers
"Legal, People & Support",People Services Specialist,1,1,QTS Data Centers
"Legal, People & Support",Vice President of EHS,1,1,Stream Data Centers
Operations & Facilities,Director of Execution & Operational Planning,1,1,Microsoft
Operations & Facilities,President - Data Center Operations,1,1,Saragon
Pre-Construction & Cost,Senior Estimator,43,30,Balfour Beatty US; Burns & Mc Donnell; Consigli Construction Co; Currie & Brown; Currie & Brown ·; DPR Construction; Fluor; Fransen Pittman Construction; GH Phipps Construction Companies; Hensel Phelps; Integra; Joseph J Albanese; Layton Construction; Lease Crutcher Lewis; Lithko Contracting; McCarthy Building Companies; Oltmans Construction; P1 Group; PCL Construction; RK; Rosedin; Rosendin; Rosendin Electric; Saunders Construction; Structure Tone Southwest; Suffolk Construction; Sun Country Builders; Swinerton; The Weitz Company; Turner Construction
